id,name,type,birth,age,position,country
JL,Juliet Lohuis,0,1996,3,1,2
MT,Mira Todorova,0,1994,4,1,3
ET,Eline Timmerman,0,1998,2,1,2
HK,Hannah Kohn,0,2003,1,2,1
IVDV,Ilka Van De Vyver,0,1993,4,2,4
JN,Julia Nowicka,0,1998,2,2,5
SL,Simone Lee,0,1996,3,3,7
MSP,Maria Segura Palleres,0,1992,4,3,8
HJ,Hester Jasper,0,2001,2,3,2
KR,Krystal Rivers,0,1994,4,4,7
RK,Roosa Koskelo,0,1991,4,5,6
LB,Lara Berger,0,2001,1,4,1
LG,Lena Grundt,0,2004,1,5,1
HD,Helena Dornheim,0,2004,1,3,1
SU,Set Up 65,1,,,,
TTP,Talent Team Papendal,1,,,,
EA,Eurosped Almelo,1,,,,
CA,Coolen Alterno,1,,,,
UM,USC Munster,1,,,,
RC,RC Cannes,1,,,,
VLC,Volero Le Cannet,1,,,,
VZ,Volero Zurich,1,,,,
LC,Le Cannet Volley Ball,1,,,,
SP,Smaesch Pfeffingen,1,,,,
VCM,VC Maritza,1,,,,
AA,Alterno Apeldoorn,1,,,,
ET,Eurosped Twente,1,,,,
LBA,Ladies in Black Aachen,1,,,,
VU,VfB Ulm,1,,,,
OS,Olympiastutzpunkt Stuttgart,1,,,,
BS,Bundesstutzpunkt Stuttgart,1,,,,
AK,Asterix Kieldrecht,1,,,,
IBF,Il Bisonte Firenze,1,,,,
CL,Calcit Ljubljana,1,,,,
RRV,Rote Raben Vilsbiburg,1,,,,
CSM,CSM Targoviste,1,,,,
GBL,Grot Budowlani Lodz,1,,,,
BKS,BKS Profi Credit Bielsko-Biała,1,,,,
KPB,KS Palac Bydgoszcz U20,1,,,,
SMS,SMS PZPS Szczyrk,1,,,,
KA,Kurobe AquaFairies,1,,,,
BE,Beylikduzu,1,,,,
IVC,Imoco Volley Conegliano,1,,,,
PSU,Penn State Univ,1,,,,
BVMB,Banca Valsabbina Millenium Brescia,1,,,,
DSC,Dresdner SC 1898,1,,,,
BSBC,Bosca San Bernardo Cuneo,1,,,,
STM,Saugella Team Monza,1,,,,
DIT,Delta Informatica Trentino,1,,,,
GHO,Geovillage Hermaea Olbia,1,,,,
CVB,CV Barcelona,1,,,,
SLT,VfB Suhl Lotto Thuringen,1,,,,
VCS,VC Sneek,1,,,,
AMSII,Allianz MTV Stuttgart II,1,,,,
UA,University of Alabama,1,,,,
BA,Beziers Angels,1,,,,
LKB,Luka Bar MNE,1,,,,
FVT,FV Tubinger Modell,1,,,,
VCO,VCO Berlin,1,,,,
NovaB,OK Nova KBM Branik,1,,,,
LPV,LP Viesti,1,,,,
LPK,LP Kangasala,1,,,,
HL,Hameenlinnan Lentopallokerho,1,,,,
Ki,Kimmo,1,,,,
SP,Someron Pallo,1,,,,
EJMTV,Eigene Jugend MTV Stuttgart,1,,,,
NLD,Niederlande,1,,,,
BGR,Bulgarien,1,,,,
GER,Deutschland,1,,,,
BEL,Belgien,1,,,,
POL,Polen,1,,,,
USA,Amerika,1,,,,
ESP,Spanien,1,,,,
FIN,Finnland,1,,,,
